datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2019/08/12 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,TAPIRAI,Cerrado,6,0,1,-198.770,-460.690,14.5
2019/08/12 16:35:00,AQUA_M-T,Brasil,MINAS GERAIS,SABARA,Mata Atlantica,6,0,-999,-199.380,-437.410,8.5
2019/08/12 18:15:00,AQUA_M-T,Brasil,AMAZONAS,BOCA DO ACRE,Amazonia,19,0,1,-91.610,-673.010,39.1
2019/08/12 18:15:00,AQUA_M-T,Brasil,AMAZONAS,ITAMARATI,Amazonia,18,0,0.8,-62.830,-678.830,11.3
2019/08/12 18:15:00,AQUA_M-T,Brasil,ACRE,JORDAO,Amazonia,18,0,0.9,-89.770,-718.640,11.9
2019/08/13 17:20:00,AQUA_M-T,Brasil,GOIAS,NEROPOLIS,Cerrado,8,0,1,-164.560,-491.990,23.5
2019/08/13 17:20:00,AQUA_M-T,Brasil,RONDONIA,ARIQUEMES,Amazonia,23,0,1,-99.740,-632.440,40.5
2019/08/13 17:20:00,AQUA_M-T,Brasil,RONDONIA,ITAPUA DO OESTE,Amazonia,28,0,1,-90.340,-627.390,25
2019/08/15 18:45:00,AQUA_M-T,Brasil,ACRE,XAPURI,Amazonia,15,0,1,-105.480,-687.750,58.5
2019/08/16 17:50:00,AQUA_M-T,Brasil,MATO GROSSO DO SUL,ANASTACIO,Cerrado,21,0,1,-208.970,-555.620,14.5
2019/08/16 17:50:00,AQUA_M-T,Brasil,RONDONIA,GUAJARA-MIRIM,Amazonia,26,0,1,-111.550,-648.070,10.9
2019/08/16 17:50:00,AQUA_M-T,Brasil,RONDONIA,CACOAL,Amazonia,16,0,1,-113.410,-611.410,39.9
2019/08/17 16:55:00,AQUA_M-T,Brasil,MARANHAO,BARAO DE GRAJAU,Caatinga,81,1.5,1,-66.350,-432.090,56.6
2019/08/17 16:55:00,AQUA_M-T,Brasil,PIAUI,FLORIANO,Caatinga,39,0.8,1,-69.170,-433.360,31.7
2019/08/17 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,SANTA RITA DE IBITIPOCA,Mata Atlantica,11,0,1,-215.370,-440.490,7.9
2019/08/17 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,VARGINHA,Mata Atlantica,12,0,1,-215.820,-454.110,7.7
